"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"C1";"47uf 50v";"CPOL-EUE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"CAN";"JP5";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";"";
"CAN1";"";"DB9MALE";"DB9_MALE";"DB9 Connector";"";"";"";"";"CONN-09904";
"CAN2";"";"DB9MALE";"DB9_MALE";"DB9 Connector";"";"";"";"";"CONN-09904";
"D1";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";
"ECU_CTRL";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";"";
"GPIO";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";"";
"IC1";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"";"";"";"";"";
"IC3";"23LC1024";"23LCSN";"SO-08";"Serial SPI RAM 1Mbit , SPI bus";"";"";"";"";"";
"KK1";"D02S";"D02S";"D02S";"HEATSINK";"";"";"";"";"";
"KK2";"D02S";"D02S";"D02S";"HEATSINK";"";"";"";"";"";
"LD1";"";"DUOLED-RG-C";"DUOLED-C-5MM";"DUO LED";"";"";"";"";"";
"Q1";"BS170";"BS170";"SOT54E";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q2";"FQP27P06";"MOSFET-PCHANNELFQP27P06";"TO220V";"Generic PMOSFET";"";"";"";"";"";
"R1";"1k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"R2";"2K";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"R3";"4.7K";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"R5";"120R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"R6";"120R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"R7";"330R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"R8";"330R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"R9";"4.7k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"R10";"1.2k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";
"RJ45";"RJ45-STD";"RJ45-6L2-B";"RJ45-SHIELD2";"RJ45 Low Profile Shield Type 2";"";"RJ45-6L2-B";"unknown";"16R6096";"";
"S1";"";"TAC_SWITCHPTH";"TACTILE-PTH";"Momentary Switch";"";"";"";"";"";
"SD";"";"MA06-1";"MA06-1";"PIN HEADER";"";"";"unknown";"unknown";"";
"U$1";"MBED";"MBED_NXP_LPC1768";"DIL40_0.9";"";"";"";"";"";"";
"U1";"MCP2551";"MCP2551";"SO08";"CAN transceiver";"";"";"";"";"IC-09907";
"U2";"MCP2551";"MCP2551";"SO08";"CAN transceiver";"";"";"";"";"IC-09907";
"UART";"";"MA05-1";"MA05-1";"PIN HEADER";"";"";"unknown";"unknown";"";
"X1";"USB";"MINI-USB-UX60A-MB-5ST";"UX60A-MB-5ST";"MINI USB Connector";"";"";"unknown";"unknown";"";
"X2";"";"SCD-014A";"SCD-014-A";"Power Jack 2.5mm";"";"";"unknown";"unknown";"";
